INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,30,ADMIMETH_1,-2.1127,0.0303,4854.2156,1,0
I00699,30,ADMIMETH_2,0,,,0,
I00699,30,ADMIMETH_3,0,,,0,
I00699,30,ADMISSION_MONTH_1,0.0088,0.0404,0.0477,1,0.8271
I00699,30,ADMISSION_MONTH_2,-0.0113,0.0408,0.0766,1,0.782
I00699,30,ADMISSION_MONTH_3,-0.0522,0.0405,1.6648,1,0.1969
I00699,30,ADMISSION_MONTH_4,-0.0537,0.0406,1.7459,1,0.1864
I00699,30,ADMISSION_MONTH_5,-0.0497,0.0393,1.5999,1,0.2059
I00699,30,ADMISSION_MONTH_6,0.0314,0.0387,0.6615,1,0.416
I00699,30,ADMISSION_MONTH_7,-0.0437,0.0391,1.2479,1,0.2639
I00699,30,ADMISSION_MONTH_8,0.01,0.0388,0.0657,1,0.7977
I00699,30,ADMISSION_MONTH_9,0,,,0,
I00699,30,ADMISSION_MONTH_10,0.0116,0.0396,0.0858,1,0.7695
I00699,30,ADMISSION_MONTH_11,-0.0405,0.04,1.024,1,0.3116
I00699,30,ADMISSION_MONTH_12,0.0135,0.0404,0.1118,1,0.7381
I00699,30,AGE_GROUP_1,-8.2258,67.7698,0.0147,1,0.9034
I00699,30,AGE_GROUP_2,-0.0573,0.3828,0.0224,1,0.881
I00699,30,AGE_GROUP_3,-1.0215,0.4254,5.7663,1,0.0163
I00699,30,AGE_GROUP_4,-1.1985,0.462,6.7302,1,0.0095
I00699,30,AGE_GROUP_5,-0.6303,0.2929,4.631,1,0.0314
I00699,30,AGE_GROUP_6,-0.5248,0.2076,6.3876,1,0.0115
I00699,30,AGE_GROUP_7,-0.5566,0.1507,13.6428,1,0.0002
I00699,30,AGE_GROUP_8,-0.2622,0.0988,7.0422,1,0.008
I00699,30,AGE_GROUP_9,-0.4633,0.0767,36.5211,1,0
I00699,30,AGE_GROUP_10,-0.3857,0.0595,42.0569,1,0
I00699,30,AGE_GROUP_11,-0.2856,0.049,33.9188,1,0
I00699,30,AGE_GROUP_12,-0.282,0.0397,50.5327,1,0
I00699,30,AGE_GROUP_13,-0.2467,0.0345,51.1362,1,0
I00699,30,AGE_GROUP_14,-0.1331,0.0317,17.5764,1,0
I00699,30,AGE_GROUP_15,-0.0572,0.0305,3.5206,1,0.0606
I00699,30,AGE_GROUP_16,0,,,0,
I00699,30,AGE_GROUP_17,0.1565,0.0293,28.551,1,0
I00699,30,AGE_GROUP_18,0.3843,0.0318,145.7293,1,0
I00699,30,AGE_GROUP_19,0.5585,0.0375,221.3966,1,0
I00699,30,AGE_GROUP_20,0.8055,0.0541,221.3745,1,0
I00699,30,AGE_GROUP_21,0,,,0,
I00699,30,BIRTHWEIGHT_6,0,,,0,
I00699,30,CHARLSON_INDEX_1,0,,,0,
I00699,30,CHARLSON_INDEX_2,0.2846,0.0667,18.1926,1,0
I00699,30,CHARLSON_INDEX_3,0.8778,0.0382,527.3768,1,0
I00699,30,GENDER_1,-0.0117,0.0167,0.4911,1,0.4834
I00699,30,GENDER_2,0,,,0,
I00699,30,GENDER_3,0,,,0,
I00699,30,Intercept,-1.9858,0.0516,1483.1755,1,0
I00699,30,YEAR_INDEX_1,0,,,0,
I00699,30,YEAR_INDEX_2,0.0125,0.0201,0.3832,1,0.5359
I00699,30,YEAR_INDEX_3,-0.038,0.0205,3.4372,1,0.0637
I00699,31,ADMIMETH_1,0,,,0,
I00699,31,ADMIMETH_2,0,,,0,
I00699,31,ADMIMETH_3,3.7904,0.0642,3489.9768,1,0
I00699,31,ADMISSION_MONTH_1,-0.0624,0.0857,0.5302,1,0.4665
I00699,31,ADMISSION_MONTH_2,-0.0325,0.0863,0.1417,1,0.7066
I00699,31,ADMISSION_MONTH_3,0,,,0,
I00699,31,ADMISSION_MONTH_4,-0.0402,0.0847,0.2249,1,0.6353
I00699,31,ADMISSION_MONTH_5,-0.1371,0.0834,2.7026,1,0.1002
I00699,31,ADMISSION_MONTH_6,-0.1402,0.0833,2.8331,1,0.0923
I00699,31,ADMISSION_MONTH_7,-0.0444,0.0819,0.2938,1,0.5878
I00699,31,ADMISSION_MONTH_8,-0.0671,0.0835,0.6453,1,0.4218
I00699,31,ADMISSION_MONTH_9,-0.0113,0.0829,0.0184,1,0.892
I00699,31,ADMISSION_MONTH_10,0.0057,0.0838,0.0047,1,0.9455
I00699,31,ADMISSION_MONTH_11,-0.0292,0.0854,0.1168,1,0.7325
I00699,31,ADMISSION_MONTH_12,-0.0585,0.0873,0.4499,1,0.5024
I00699,31,AGE_GROUP_1,-1.7788,0.6043,8.6656,1,0.0032
I00699,31,AGE_GROUP_2,-3.441,0.5844,34.6682,1,0
I00699,31,AGE_GROUP_3,-3.5752,0.5833,37.5673,1,0
I00699,31,AGE_GROUP_4,-2.953,0.2963,99.3583,1,0
I00699,31,AGE_GROUP_5,-2.3824,0.2281,109.0416,1,0
I00699,31,AGE_GROUP_6,-1.2331,0.215,32.8881,1,0
I00699,31,AGE_GROUP_7,-1.4761,0.1993,54.8549,1,0
I00699,31,AGE_GROUP_8,-1.6654,0.204,66.643,1,0
I00699,31,AGE_GROUP_9,-1.2547,0.1638,58.6716,1,0
I00699,31,AGE_GROUP_10,-1.4728,0.1634,81.2179,1,0
I00699,31,AGE_GROUP_11,-1.0402,0.1228,71.7963,1,0
I00699,31,AGE_GROUP_12,-0.7951,0.0943,71.0468,1,0
I00699,31,AGE_GROUP_13,-0.4332,0.0781,30.7776,1,0
I00699,31,AGE_GROUP_14,-0.3886,0.0709,30.0164,1,0
I00699,31,AGE_GROUP_15,-0.2419,0.0669,13.0793,1,0.0003
I00699,31,AGE_GROUP_16,0,,,0,
I00699,31,AGE_GROUP_17,0.1755,0.0592,8.7788,1,0.003
I00699,31,AGE_GROUP_18,0.3293,0.0629,27.4243,1,0
I00699,31,AGE_GROUP_19,0.5799,0.0701,68.4419,1,0
I00699,31,AGE_GROUP_20,0.7558,0.0876,74.5085,1,0
I00699,31,AGE_GROUP_21,0,,,0,
I00699,31,BIRTHWEIGHT_6,0,,,0,
I00699,31,CHARLSON_INDEX_1,0,,,0,
I00699,31,CHARLSON_INDEX_2,0.3863,0.1222,9.9896,1,0.0016
I00699,31,CHARLSON_INDEX_3,1.2778,0.0714,320.6838,1,0
I00699,31,GENDER_1,-0.0123,0.0343,0.1282,1,0.7203
I00699,31,GENDER_2,0,,,0,
I00699,31,GENDER_3,0,,,0,
I00699,31,Intercept,-5.2376,0.1159,2040.4736,1,0
I00699,31,YEAR_INDEX_1,0,,,0,
I00699,31,YEAR_INDEX_2,-0.0178,0.0415,0.1846,1,0.6674
I00699,31,YEAR_INDEX_3,-0.1158,0.0428,7.3207,1,0.0068
I00699,32,ADMIMETH_1,-2.1986,0.1042,444.9655,1,0
I00699,32,ADMIMETH_2,0,,,0,
I00699,32,ADMIMETH_3,0,,,0,
I00699,32,ADMISSION_MONTH_1,-0.0242,0.1598,0.0229,1,0.8797
I00699,32,ADMISSION_MONTH_2,0.1027,0.1535,0.4482,1,0.5032
I00699,32,ADMISSION_MONTH_3,-0.3382,0.165,4.1986,1,0.0405
I00699,32,ADMISSION_MONTH_4,0.1362,0.1513,0.8108,1,0.3679
I00699,32,ADMISSION_MONTH_5,-0.017,0.154,0.0123,1,0.9118
I00699,32,ADMISSION_MONTH_6,0.0436,0.1476,0.0871,1,0.768
I00699,32,ADMISSION_MONTH_7,-0.1039,0.1539,0.4561,1,0.4995
I00699,32,ADMISSION_MONTH_8,-0.1691,0.1554,1.1837,1,0.2766
I00699,32,ADMISSION_MONTH_9,0,,,0,
I00699,32,ADMISSION_MONTH_10,0.2087,0.1476,1.9994,1,0.1574
I00699,32,ADMISSION_MONTH_11,0.1412,0.149,0.8972,1,0.3435
I00699,32,ADMISSION_MONTH_12,-0.2543,0.1678,2.297,1,0.1296
I00699,32,AGE_GROUP_1,-1.0983,0.5133,4.5786,1,0.0324
I00699,32,AGE_GROUP_2,-1.7416,0.7166,5.9078,1,0.0151
I00699,32,AGE_GROUP_3,-2.3822,1.0066,5.6006,1,0.018
I00699,32,AGE_GROUP_4,-1.873,0.5873,10.1696,1,0.0014
I00699,32,AGE_GROUP_5,-13.3673,158.0476,0.0072,1,0.9326
I00699,32,AGE_GROUP_6,-3.7674,1.0054,14.0417,1,0.0002
I00699,32,AGE_GROUP_7,-2.6987,0.459,34.5665,1,0
I00699,32,AGE_GROUP_8,-3.0052,0.4588,42.8962,1,0
I00699,32,AGE_GROUP_9,-3.1366,0.5102,37.7949,1,0
I00699,32,AGE_GROUP_10,-2.4829,0.3909,40.3497,1,0
I00699,32,AGE_GROUP_11,-2.001,0.3048,43.1073,1,0
I00699,32,AGE_GROUP_12,-1.1383,0.2012,32.0001,1,0
I00699,32,AGE_GROUP_13,-0.867,0.1782,23.6702,1,0
I00699,32,AGE_GROUP_14,-0.4451,0.1559,8.1526,1,0.0043
I00699,32,AGE_GROUP_15,-0.2444,0.1468,2.772,1,0.0959
I00699,32,AGE_GROUP_16,0,,,0,
I00699,32,AGE_GROUP_17,0.5162,0.1189,18.8627,1,0
I00699,32,AGE_GROUP_18,0.8714,0.1181,54.4069,1,0
I00699,32,AGE_GROUP_19,1.0897,0.1243,76.9163,1,0
I00699,32,AGE_GROUP_20,1.5821,0.1323,142.9164,1,0
I00699,32,AGE_GROUP_21,0,,,0,
I00699,32,BIRTHWEIGHT_6,0,,,0,
I00699,32,CHARLSON_INDEX_1,0,,,0,
I00699,32,CHARLSON_INDEX_2,0.0812,0.1055,0.5927,1,0.4414
I00699,32,CHARLSON_INDEX_3,0.9297,0.0746,155.1077,1,0
I00699,32,GENDER_1,0.3587,0.0653,30.1463,1,0
I00699,32,GENDER_2,0,,,0,
I00699,32,GENDER_3,0,,,0,
I00699,32,Intercept,-3.5743,0.1563,523.1145,1,0
I00699,32,YEAR_INDEX_1,0,,,0,
I00699,32,YEAR_INDEX_2,0.0062,0.0772,0.0065,1,0.9357
I00699,32,YEAR_INDEX_3,0.0436,0.0791,0.3035,1,0.5817
I00699,33,ADMIMETH_1,0,,,0,
I00699,33,ADMIMETH_2,0,,,0,
I00699,33,ADMIMETH_3,2.2813,0.1235,341.0565,1,0
I00699,33,ADMISSION_MONTH_1,-0.6682,0.2387,7.8402,1,0.0051
I00699,33,ADMISSION_MONTH_2,-1.2771,0.2869,19.8121,1,0
I00699,33,ADMISSION_MONTH_3,-0.6098,0.2253,7.3283,1,0.0068
I00699,33,ADMISSION_MONTH_4,-0.546,0.2365,5.3309,1,0.021
I00699,33,ADMISSION_MONTH_5,-0.6296,0.2237,7.9221,1,0.0049
I00699,33,ADMISSION_MONTH_6,-0.5509,0.2195,6.299,1,0.0121
I00699,33,ADMISSION_MONTH_7,-0.6236,0.2231,7.8085,1,0.0052
I00699,33,ADMISSION_MONTH_8,-0.4376,0.2098,4.349,1,0.037
I00699,33,ADMISSION_MONTH_9,-0.3896,0.2051,3.6092,1,0.0575
I00699,33,ADMISSION_MONTH_10,-0.8148,0.2321,12.3278,1,0.0004
I00699,33,ADMISSION_MONTH_11,0,,,0,
I00699,33,ADMISSION_MONTH_12,-0.79,0.2413,10.7224,1,0.0011
I00699,33,AGE_GROUP_1,-0.7773,0.7939,0.9585,1,0.3276
I00699,33,AGE_GROUP_2,0.5274,1.0641,0.2457,1,0.6201
I00699,33,AGE_GROUP_3,1.0323,1.0644,0.9405,1,0.3321
I00699,33,AGE_GROUP_4,-11.9653,497.3662,0.0006,1,0.9808
I00699,33,AGE_GROUP_5,0.1202,1.0621,0.0128,1,0.9099
I00699,33,AGE_GROUP_6,-11.9826,340.8066,0.0012,1,0.972
I00699,33,AGE_GROUP_7,-0.8503,1.0614,0.6418,1,0.423
I00699,33,AGE_GROUP_8,-0.5748,0.7912,0.5277,1,0.4676
I00699,33,AGE_GROUP_9,-0.1538,0.6131,0.0629,1,0.8019
I00699,33,AGE_GROUP_10,0.3017,0.5006,0.3632,1,0.5467
I00699,33,AGE_GROUP_11,0,,,0,
I00699,33,AGE_GROUP_12,0.7922,0.444,3.1834,1,0.0744
I00699,33,AGE_GROUP_13,1.1882,0.4351,7.4585,1,0.0063
I00699,33,AGE_GROUP_14,1.4129,0.4217,11.2249,1,0.0008
I00699,33,AGE_GROUP_15,1.8009,0.4014,20.1266,1,0
I00699,33,AGE_GROUP_16,2.1332,0.3864,30.4829,1,0
I00699,33,AGE_GROUP_17,2.4436,0.381,41.1398,1,0
I00699,33,AGE_GROUP_18,2.8444,0.3805,55.8915,1,0
I00699,33,AGE_GROUP_19,3.0578,0.3869,62.4501,1,0
I00699,33,AGE_GROUP_20,3.5813,0.3962,81.7142,1,0
I00699,33,AGE_GROUP_21,0,,,0,
I00699,33,BIRTHWEIGHT_6,0,,,0,
I00699,33,CHARLSON_INDEX_1,0,,,0,
I00699,33,CHARLSON_INDEX_2,0.3822,0.1714,4.972,1,0.0258
I00699,33,CHARLSON_INDEX_3,1.3327,0.1312,103.2086,1,0
I00699,33,GENDER_1,0.3042,0.1051,8.3762,1,0.0038
I00699,33,GENDER_2,0,,,0,
I00699,33,GENDER_3,0,,,0,
I00699,33,Intercept,-8.424,0.3918,462.3456,1,0
I00699,33,YEAR_INDEX_1,0,,,0,
I00699,33,YEAR_INDEX_2,-0.1033,0.1241,0.6932,1,0.4051
I00699,33,YEAR_INDEX_3,0.1198,0.1259,0.9056,1,0.3413
I00699,34,ADMIMETH_1,-1.0253,0.7125,2.0709,1,0.1501
I00699,34,ADMIMETH_2,0,,,0,
I00699,34,ADMIMETH_3,0,,,0,
I00699,34,ADMISSION_MONTH_1,0.3282,0.2199,2.2281,1,0.1355
I00699,34,ADMISSION_MONTH_2,-0.1381,0.2455,0.3163,1,0.5739
I00699,34,ADMISSION_MONTH_3,0,,,0,
I00699,34,ADMISSION_MONTH_4,0.0974,0.2334,0.1743,1,0.6763
I00699,34,ADMISSION_MONTH_5,0.2511,0.2209,1.293,1,0.2555
I00699,34,ADMISSION_MONTH_6,0.2366,0.2197,1.1602,1,0.2814
I00699,34,ADMISSION_MONTH_7,0.3481,0.2163,2.5909,1,0.1075
I00699,34,ADMISSION_MONTH_8,0.4033,0.2163,3.4765,1,0.0622
I00699,34,ADMISSION_MONTH_9,0.1606,0.2276,0.4981,1,0.4803
I00699,34,ADMISSION_MONTH_10,0.2057,0.2218,0.8605,1,0.3536
I00699,34,ADMISSION_MONTH_11,0.1953,0.2275,0.7372,1,0.3906
I00699,34,ADMISSION_MONTH_12,0.2986,0.2252,1.7584,1,0.1848
I00699,34,AGE_GROUP_1,-0.0991,4198.0368,0,1,1
I00699,34,AGE_GROUP_2,-0.2816,746.718,0,1,0.9997
I00699,34,AGE_GROUP_3,-0.3826,579.2869,0,1,0.9995
I00699,34,AGE_GROUP_4,0,,,0,
I00699,34,AGE_GROUP_5,11.9926,298.6039,0.0016,1,0.968
I00699,34,AGE_GROUP_6,-0.325,620.2491,0,1,0.9996
I00699,34,AGE_GROUP_7,12.1264,298.6039,0.0016,1,0.9676
I00699,34,AGE_GROUP_8,12.7043,298.603,0.0018,1,0.9661
I00699,34,AGE_GROUP_9,13.7432,298.6025,0.0021,1,0.9633
I00699,34,AGE_GROUP_10,13.8261,298.6024,0.0021,1,0.9631
I00699,34,AGE_GROUP_11,13.657,298.6024,0.0021,1,0.9635
I00699,34,AGE_GROUP_12,13.7585,298.6023,0.0021,1,0.9632
I00699,34,AGE_GROUP_13,14.2883,298.6023,0.0023,1,0.9618
I00699,34,AGE_GROUP_14,14.6159,298.6023,0.0024,1,0.961
I00699,34,AGE_GROUP_15,14.5441,298.6023,0.0024,1,0.9612
I00699,34,AGE_GROUP_16,15.0481,298.6022,0.0025,1,0.9598
I00699,34,AGE_GROUP_17,15.0795,298.6022,0.0026,1,0.9597
I00699,34,AGE_GROUP_18,15.4475,298.6022,0.0027,1,0.9587
I00699,34,AGE_GROUP_19,15.7409,298.6022,0.0028,1,0.958
I00699,34,AGE_GROUP_20,16.1226,298.6022,0.0029,1,0.9569
I00699,34,AGE_GROUP_21,0,,,0,
I00699,34,BIRTHWEIGHT_6,0,,,0,
I00699,34,CHARLSON_INDEX_1,0,,,0,
I00699,34,CHARLSON_INDEX_2,-0.0956,0.2473,0.1493,1,0.6992
I00699,34,CHARLSON_INDEX_3,1.3466,0.1353,99.0867,1,0
I00699,34,GENDER_1,0,,,0,
I00699,34,GENDER_2,-0.0235,0.0892,0.0697,1,0.7918
I00699,34,GENDER_3,0,,,0,
I00699,34,Intercept,-20.1576,298.6023,0.0046,1,0.9462
I00699,34,YEAR_INDEX_1,0,,,0,
I00699,34,YEAR_INDEX_2,-0.0898,0.1121,0.6423,1,0.4229
I00699,34,YEAR_INDEX_3,0.0986,0.1081,0.8315,1,0.3618
I00699,35,ADMIMETH_1,-0.9667,0.14,47.6832,1,0
I00699,35,ADMIMETH_2,0,,,0,
I00699,35,ADMIMETH_3,0,,,0,
I00699,35,ADMISSION_MONTH_1,0.0787,0.0847,0.8628,1,0.353
I00699,35,ADMISSION_MONTH_2,-0.0595,0.0899,0.4371,1,0.5085
I00699,35,ADMISSION_MONTH_3,-0.117,0.0899,1.6925,1,0.1933
I00699,35,ADMISSION_MONTH_4,-0.0829,0.091,0.8311,1,0.362
I00699,35,ADMISSION_MONTH_5,-0.1212,0.0888,1.8661,1,0.1719
I00699,35,ADMISSION_MONTH_6,-0.21,0.0905,5.3857,1,0.0203
I00699,35,ADMISSION_MONTH_7,-0.182,0.0915,3.9573,1,0.0467
I00699,35,ADMISSION_MONTH_8,-0.1171,0.088,1.7712,1,0.1832
I00699,35,ADMISSION_MONTH_9,-0.1939,0.0904,4.6009,1,0.032
I00699,35,ADMISSION_MONTH_10,-0.0833,0.0878,0.8986,1,0.3432
I00699,35,ADMISSION_MONTH_11,-0.0102,0.0872,0.0138,1,0.9066
I00699,35,ADMISSION_MONTH_12,0,,,0,
I00699,35,AGE_GROUP_1,-12.4449,584.0369,0.0005,1,0.983
I00699,35,AGE_GROUP_2,-12.6688,179.217,0.005,1,0.9436
I00699,35,AGE_GROUP_3,-12.7643,138.2101,0.0085,1,0.9264
I00699,35,AGE_GROUP_4,-3.6396,1.0036,13.1519,1,0.0003
I00699,35,AGE_GROUP_5,-2.2369,0.3869,33.4179,1,0
I00699,35,AGE_GROUP_6,-1.7912,0.289,38.4225,1,0
I00699,35,AGE_GROUP_7,-1.8919,0.299,40.0274,1,0
I00699,35,AGE_GROUP_8,-1.2842,0.2265,32.1523,1,0
I00699,35,AGE_GROUP_9,-0.9027,0.1922,22.0502,1,0
I00699,35,AGE_GROUP_10,-0.8616,0.1896,20.6544,1,0
I00699,35,AGE_GROUP_11,-0.7888,0.1622,23.652,1,0
I00699,35,AGE_GROUP_12,-0.3097,0.1224,6.397,1,0.0114
I00699,35,AGE_GROUP_13,0,,,0,
I00699,35,AGE_GROUP_14,0.2164,0.0987,4.8122,1,0.0283
I00699,35,AGE_GROUP_15,0.4153,0.0957,18.8179,1,0
I00699,35,AGE_GROUP_16,0.7874,0.089,78.2188,1,0
I00699,35,AGE_GROUP_17,1.0678,0.0865,152.3957,1,0
I00699,35,AGE_GROUP_18,1.2501,0.0867,207.7704,1,0
I00699,35,AGE_GROUP_19,1.6777,0.0875,367.9501,1,0
I00699,35,AGE_GROUP_20,2.0726,0.0968,458.4568,1,0
I00699,35,AGE_GROUP_21,0,,,0,
I00699,35,BIRTHWEIGHT_6,0,,,0,
I00699,35,CHARLSON_INDEX_1,0,,,0,
I00699,35,CHARLSON_INDEX_2,0.4091,0.0874,21.8978,1,0
I00699,35,CHARLSON_INDEX_3,1.2965,0.0608,455.2601,1,0
I00699,35,GENDER_1,0,,,0,
I00699,35,GENDER_2,0.2087,0.038,30.2365,1,0
I00699,35,GENDER_3,0,,,0,
I00699,35,Intercept,-4.4936,0.1072,1758.745,1,0
I00699,35,YEAR_INDEX_1,0,,,0,
I00699,35,YEAR_INDEX_2,-0.1505,0.0441,11.6623,1,0.0006
I00699,35,YEAR_INDEX_3,-0.0885,0.046,3.7087,1,0.0541
I00699,36,ADMIMETH_1,-3.0245,0.2536,142.1822,1,0
I00699,36,ADMIMETH_2,0,,,0,
I00699,36,ADMIMETH_3,0,,,0,
I00699,36,ADMISSION_MONTH_1,0.1236,0.1152,1.152,1,0.2831
I00699,36,ADMISSION_MONTH_2,0.1343,0.1157,1.348,1,0.2456
I00699,36,ADMISSION_MONTH_3,0.1085,0.1142,0.9024,1,0.3421
I00699,36,ADMISSION_MONTH_4,0.2418,0.1135,4.5396,1,0.0331
I00699,36,ADMISSION_MONTH_5,0.0432,0.1148,0.1416,1,0.7067
I00699,36,ADMISSION_MONTH_6,0.0424,0.1133,0.1402,1,0.708
I00699,36,ADMISSION_MONTH_7,0,,,0,
I00699,36,ADMISSION_MONTH_8,0.1609,0.1105,2.1189,1,0.1455
I00699,36,ADMISSION_MONTH_9,0.313,0.1086,8.3111,1,0.0039
I00699,36,ADMISSION_MONTH_10,0.1017,0.1145,0.7901,1,0.3741
I00699,36,ADMISSION_MONTH_11,0.2895,0.1105,6.859,1,0.0088
I00699,36,ADMISSION_MONTH_12,0.3606,0.1106,10.6346,1,0.0011
I00699,36,AGE_GROUP_1,-1.8022,0.5869,9.4292,1,0.0021
I00699,36,AGE_GROUP_2,-4.0581,1.0045,16.32,1,0.0001
I00699,36,AGE_GROUP_3,-14.2459,227.1512,0.0039,1,0.95
I00699,36,AGE_GROUP_4,-14.3269,225.45,0.004,1,0.9493
I00699,36,AGE_GROUP_5,-14.2905,203.7119,0.0049,1,0.9441
I00699,36,AGE_GROUP_6,-3.2154,0.7118,20.406,1,0
I00699,36,AGE_GROUP_7,-2.5327,0.4544,31.0721,1,0
I00699,36,AGE_GROUP_8,-2.0522,0.3423,35.9384,1,0
I00699,36,AGE_GROUP_9,-1.6693,0.2878,33.653,1,0
I00699,36,AGE_GROUP_10,-1.0394,0.2172,22.8935,1,0
I00699,36,AGE_GROUP_11,-0.9884,0.191,26.7734,1,0
I00699,36,AGE_GROUP_12,-0.7262,0.1579,21.1498,1,0
I00699,36,AGE_GROUP_13,-0.5374,0.1305,16.9558,1,0
I00699,36,AGE_GROUP_14,-0.2647,0.1143,5.3575,1,0.0206
I00699,36,AGE_GROUP_15,-0.2155,0.1074,4.0282,1,0.0447
I00699,36,AGE_GROUP_16,0,,,0,
I00699,36,AGE_GROUP_17,0.0776,0.0894,0.7545,1,0.3851
I00699,36,AGE_GROUP_18,0.4219,0.0833,25.6645,1,0
I00699,36,AGE_GROUP_19,0.6235,0.0848,54.0276,1,0
I00699,36,AGE_GROUP_20,1.0302,0.0914,126.9531,1,0
I00699,36,AGE_GROUP_21,0,,,0,
I00699,36,BIRTHWEIGHT_6,0,,,0,
I00699,36,CHARLSON_INDEX_1,0,,,0,
I00699,36,CHARLSON_INDEX_2,0.3997,0.1052,14.443,1,0.0001
I00699,36,CHARLSON_INDEX_3,1.2653,0.0888,202.9281,1,0
I00699,36,GENDER_1,0.1328,0.0459,8.3807,1,0.0038
I00699,36,GENDER_2,0,,,0,
I00699,36,GENDER_3,0,,,0,
I00699,36,Intercept,-4.2275,0.1346,986.3133,1,0
I00699,36,YEAR_INDEX_1,0,,,0,
I00699,36,YEAR_INDEX_2,-0.1192,0.0546,4.761,1,0.0291
I00699,36,YEAR_INDEX_3,-0.1448,0.0565,6.5726,1,0.0104
I00699,37,ADMIMETH_1,-0.5396,0.1046,26.6067,1,0
I00699,37,ADMIMETH_2,0,,,0,
I00699,37,ADMIMETH_3,0,,,0,
I00699,37,ADMISSION_MONTH_1,0.2253,0.0498,20.501,1,0
I00699,37,ADMISSION_MONTH_2,0.1228,0.0504,5.9323,1,0.0149
I00699,37,ADMISSION_MONTH_3,0.0425,0.0504,0.7085,1,0.3999
I00699,37,ADMISSION_MONTH_4,0.2142,0.0504,18.0908,1,0
I00699,37,ADMISSION_MONTH_5,0.197,0.0486,16.4579,1,0
I00699,37,ADMISSION_MONTH_6,0.0695,0.0481,2.0824,1,0.149
I00699,37,ADMISSION_MONTH_7,0,,,0,
I00699,37,ADMISSION_MONTH_8,0.0823,0.0474,3.0123,1,0.0826
I00699,37,ADMISSION_MONTH_9,0.1207,0.0486,6.1615,1,0.0131
I00699,37,ADMISSION_MONTH_10,0.1569,0.0488,10.3334,1,0.0013
I00699,37,ADMISSION_MONTH_11,0.1866,0.0491,14.4523,1,0.0001
I00699,37,ADMISSION_MONTH_12,0.1905,0.0492,14.991,1,0.0001
I00699,37,AGE_GROUP_1,-2.0103,0.4501,19.9505,1,0
I00699,37,AGE_GROUP_2,-2.1198,0.4499,22.2006,1,0
I00699,37,AGE_GROUP_3,-2.4657,0.5797,18.0934,1,0
I00699,37,AGE_GROUP_4,-2.7265,0.7093,14.7778,1,0.0001
I00699,37,AGE_GROUP_5,-3.4217,0.7077,23.3742,1,0
I00699,37,AGE_GROUP_6,-3.1144,0.5015,38.5735,1,0
I00699,37,AGE_GROUP_7,-2.6486,0.3555,55.5197,1,0
I00699,37,AGE_GROUP_8,-1.8669,0.199,88.0517,1,0
I00699,37,AGE_GROUP_9,-1.8291,0.1745,109.9193,1,0
I00699,37,AGE_GROUP_10,-1.1316,0.1181,91.7612,1,0
I00699,37,AGE_GROUP_11,-1.1624,0.101,132.4156,1,0
I00699,37,AGE_GROUP_12,-0.8922,0.0754,140.191,1,0
I00699,37,AGE_GROUP_13,-0.7764,0.0618,157.8775,1,0
I00699,37,AGE_GROUP_14,-0.7061,0.0542,169.6611,1,0
I00699,37,AGE_GROUP_15,-0.431,0.0455,89.9051,1,0
I00699,37,AGE_GROUP_16,-0.3345,0.04,69.7869,1,0
I00699,37,AGE_GROUP_17,-0.2457,0.037,44.12,1,0
I00699,37,AGE_GROUP_18,0,,,0,
I00699,37,AGE_GROUP_19,0.2517,0.0334,56.8731,1,0
I00699,37,AGE_GROUP_20,0.665,0.034,381.5533,1,0
I00699,37,AGE_GROUP_21,0,,,0,
I00699,37,BIRTHWEIGHT_6,0,,,0,
I00699,37,CHARLSON_INDEX_1,0,,,0,
I00699,37,CHARLSON_INDEX_2,0.1747,0.0492,12.6258,1,0.0004
I00699,37,CHARLSON_INDEX_3,1.0445,0.0343,929.1258,1,0
I00699,37,GENDER_1,0.08,0.021,14.5613,1,0.0001
I00699,37,GENDER_2,0,,,0,
I00699,37,GENDER_3,0,,,0,
I00699,37,Intercept,-3.4912,0.053,4338.9665,1,0
I00699,37,YEAR_INDEX_1,0,,,0,
I00699,37,YEAR_INDEX_2,0.0484,0.0246,3.8631,1,0.0494
I00699,37,YEAR_INDEX_3,0.0598,0.0258,5.3784,1,0.0204
I00699,38,ADMIMETH_1,-1.7324,0.1044,275.1452,1,0
I00699,38,ADMIMETH_2,0,,,0,
I00699,38,ADMIMETH_3,0,,,0,
I00699,38,ADMISSION_MONTH_1,0.0301,0.0832,0.1308,1,0.7176
I00699,38,ADMISSION_MONTH_2,0.0428,0.0833,0.2637,1,0.6076
I00699,38,ADMISSION_MONTH_3,-0.0158,0.0813,0.0377,1,0.8461
I00699,38,ADMISSION_MONTH_4,0.0561,0.0844,0.4417,1,0.5063
I00699,38,ADMISSION_MONTH_5,0.0527,0.081,0.4238,1,0.5151
I00699,38,ADMISSION_MONTH_6,0.1074,0.0793,1.8367,1,0.1753
I00699,38,ADMISSION_MONTH_7,-0.0208,0.0799,0.0681,1,0.7942
I00699,38,ADMISSION_MONTH_8,0.0126,0.0795,0.0251,1,0.8742
I00699,38,ADMISSION_MONTH_9,0,,,0,
I00699,38,ADMISSION_MONTH_10,0.071,0.0798,0.7904,1,0.374
